Date,Away_Team,Home_Team,Game_Status,Away_Win_Prob,Home_Win_Prob,Away_Proj_Runs,Home_Proj_Runs,Proj_Total,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Total_Line,Away_EV,Away_Kelly,Home_EV,Home_Kelly,Over_EV,Over_Kelly,Under_EV,Under_Kelly,Actual_Away_Runs,Actual_Home_Runs,Actual_Total,Lineups_Confirmed
2026-09-10,COL,NYY,Final,9.2,90.8,2.88,6.44,9.3,241,-270,8.5,-68.6,,24.4,,18.6,,-22.6,,3,10,13,N/A
2026-09-10,HOU,PHI,Final,18.7,81.3,3.22,5.47,8.7,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,2,1,3,N/A
2026-09-10,PIT,CHW,Final,4.0,96.0,1.21,4.85,6.1,101,-109,7.5,-92.0,,84.1,,-49.8,,45.5,,2,0,2,N/A
2026-09-10,TBR,ATL,Final,57.4,42.6,3.38,2.98,6.4,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,3,4,N/A
2026-09-10,TEX,SEA,Final,51.7,48.3,3.44,3.35,6.8,-1766,988,5.5,-45.4,,425.5,,40.9,,-42.4,,3,4,7,N/A
2026-09-11,BAL,TOR,Final,60.2,39.8,4.87,4.18,9.1,122,-133,8.0,33.6,,-30.3,,24.8,,-27.8,,7,4,11,N/A
2026-09-11,CHW,STL,Final,60.6,39.4,5.15,4.41,9.6,-108,-101,8.0,16.7,,-21.6,,30.3,,-36.7,,3,7,10,N/A
2026-09-11,CIN,MIL,Final,31.2,68.8,4.03,5.37,9.4,175,-192,8.0,-14.2,,4.6,,28.4,,-33.1,,0,20,20,N/A
2026-09-11,CLE,MIN,Final,55.3,44.7,4.08,3.75,7.8,-112,103,7.5,4.7,,-9.3,,1.8,,-7.5,,5,2,7,N/A
2026-09-11,COL,DET,Final,46.5,53.5,4.49,4.73,9.2,162,-178,8.0,21.8,,-16.4,,24.8,,-29.8,,2,6,8,N/A
2026-09-11,HOU,TBR,Final,36.6,63.4,3.6,4.43,8.0,153,-166,8.0,-7.4,,1.6,,-2.5,,-2.5,,1,3,4,N/A
2026-09-11,KCR,BOS,Final,24.3,75.7,3.64,5.49,9.1,178,-195,8.0,-32.4,,14.5,,18.6,,-25.4,,3,2,5,N/A
2026-09-11,LAA,WSN,Final,31.7,68.3,3.95,5.25,9.2,135,-147,7.5,-25.5,,14.8,,32.5,,-39.4,,3,4,7,N/A
2026-09-11,LAD,MIA,Final,61.6,38.4,4.85,4.08,8.9,-203,184,7.5,-8.1,,9.1,,36.2,,-38.5,,6,2,8,N/A
2026-09-11,NYM,NYY,Final,42.6,57.4,3.71,4.18,7.9,120,-130,8.0,-6.3,,1.6,,-12.3,,8.2,,4,6,10,N/A
2026-09-11,PHI,ATL,Final,30.3,69.7,3.42,4.73,8.1,160,-175,7.0,-21.2,,9.5,,20.1,,-26.3,,5,6,11,N/A
2026-09-11,PIT,CHC,Final,37.9,62.1,4.7,5.56,10.3,167,-183,8.5,1.2,,-4.0,,37.1,,-41.7,,2,12,14,N/A
2026-09-11,SDP,SFG,Final,56.4,43.6,4.08,3.66,7.7,-139,128,8.0,-3.0,,-0.6,,-11.4,,5.7,,7,5,12,N/A
2026-09-11,SEA,OAK,Final,59.5,40.5,4.75,4.11,8.9,-156,143,10.5,-2.4,,-1.6,,-44.4,,36.0,,5,6,11,N/A
2026-09-11,TEX,ARI,Final,45.8,54.2,4.1,4.38,8.5,103,-111,8.5,-7.0,,3.0,,-11.5,,6.5,,1,9,10,N/A
2026-09-12,BAL,TOR,Final,47.4,52.6,3.9,4.08,8.0,102,-113,8.5,-4.3,,-0.9,,-19.7,,12.5,,3,7,10,N/A
2026-09-12,CHW,STL,Final,52.8,47.2,4.06,3.91,8.0,-101,-107,8.5,5.1,,-8.7,,-19.2,,12.8,,6,5,11,N/A
2026-09-12,CIN,MIL,Final,23.8,76.2,3.88,5.83,9.7,,,,,,,,,,,,9,13,22,N/A
2026-09-12,CLE,MIN,Final,55.8,44.2,4.74,4.34,9.1,,,,,,,,,,,,3,4,7,N/A
2026-09-12,COL,DET,Final,38.5,61.5,4.38,5.17,9.6,153,-171,8.5,-2.6,,-2.5,,20.6,,-26.5,,7,11,18,N/A
2026-09-12,HOU,TBR,Final,50.7,49.3,4.27,4.19,8.5,129,-140,8.0,16.1,,-15.5,,4.6,,-9.5,,2,3,5,N/A
2026-09-12,KCR,BOS,Final,45.8,54.2,4.09,4.34,8.4,172,-189,8.5,24.6,,-17.1,,-10.5,,5.0,,1,5,6,N/A
2026-09-12,LAA,WSN,Final,40.3,59.7,3.91,4.56,8.5,102,-110,8.0,-18.6,,14.0,,6.0,,-10.8,,5,6,11,N/A
2026-09-12,LAD,MIA,Final,62.2,37.8,4.48,3.68,8.2,-181,165,8.0,-3.4,,0.2,,-0.0,,-4.5,,3,4,7,N/A
2026-09-12,NYM,NYY,Final,38.5,61.5,3.6,4.3,7.9,164,-180,8.0,1.6,,-4.3,,-11.5,,7.0,,12,2,14,N/A
2026-09-12,PHI,ATL,Final,45.3,54.7,4.19,4.53,8.7,109,-118,7.5,-5.3,,1.1,,22.5,,-29.8,,2,12,14,N/A
2026-09-12,PIT,CHC,Final,33.6,66.4,4.26,5.43,9.7,112,-122,9.0,-28.8,,20.8,,10.1,,-15.3,,3,4,7,N/A
2026-09-12,SDP,SFG,Final,59.3,40.7,3.93,3.38,7.3,-157,144,8.0,-2.9,,-0.7,,-25.6,,20.3,,7,6,13,N/A
2026-09-12,SEA,OAK,Final,55.6,44.4,4.37,4.05,8.4,-164,151,9.5,-10.5,,11.4,,-35.4,,30.7,,19,1,20,N/A
2026-09-12,TEX,ARI,Final,39.1,60.9,3.85,4.56,8.4,124,-134,8.5,-12.4,,6.3,,-11.4,,6.4,,6,2,8,N/A
2026-09-13,BAL,TOR,Final,44.3,55.7,3.66,4.07,7.7,130,-142,7.5,1.9,,-5.1,,5.3,,-10.1,,1,8,9,N/A
2026-09-13,CHW,STL,Final,49.8,50.2,4.35,4.35,8.7,-123,111,8.0,-9.7,,5.9,,9.5,,-15.7,,1,3,4,N/A
2026-09-13,CIN,MIL,Final,38.9,61.1,4.0,4.78,8.8,170,-191,8.0,5.0,,-6.9,,14.9,,-19.9,,4,3,7,N/A
2026-09-13,CLE,MIN,Final,47.0,53.0,4.27,4.46,8.7,114,-126,8.0,0.6,,-4.9,,13.7,,-18.7,,9,2,11,N/A
2026-09-13,COL,DET,Final,39.3,60.7,4.47,5.21,9.7,135,-147,9.0,-7.6,,2.0,,12.4,,-16.5,,1,8,9,N/A
2026-09-13,HOU,TBR,Final,54.2,45.8,4.51,4.22,8.7,120,-130,8.0,19.2,,-19.0,,14.9,,-18.9,,4,14,18,N/A
2026-09-13,KCR,BOS,Final,36.7,63.3,3.9,4.79,8.7,158,-172,7.5,-5.3,,0.1,,28.3,,-32.1,,1,4,5,N/A
2026-09-13,LAA,WSN,Final,32.5,67.5,4.74,6.02,10.8,106,-114,9.0,-33.0,,26.7,,30.9,,-37.9,,5,6,11,N/A
